link,Český video titulek,video na titulní stránce?,English Video Title ,popisek k videu,english video description,SLUG cesky,SLUG english,ROK,kategorie1,kategorie2,priorita kategorie 2  (1 - TOP Priority),,země natáčení,České Štítky (CZ verze),English Tags (EN version)
https://youtu.be/_Ja3fsBrnmo,ATG - Eddy Current Testing of aircraft wheels,,ATG - Eddy Current Testing of aircraft wheels,"Při natáčení testovacího systému AWT 950 NG jsem se soustředil na to, aby i složitý stroj vypadal na záběrech jako mistrovské inženýrské dílo. Jako kameraman v industriálním prostředí využívám precizní detaily a plynulé pohyby sond, abych ukázal technologickou vyspělost vašich strojů. Pomáhám inženýrským firmám proměnit technická data v poutavý vizuální příběh, který skvěle funguje na veletrzích i v digitálním marketingu.","Filming the AWT 950 NG testing system, I focused on turning complex machinery into a visual engineering masterpiece. Operating as a cinematographer in industrial settings, I use precise detailing and fluid probe movements to highlight technological sophistication. I help engineering firms transform technical data into compelling visual narratives.",atg-virive-proudy-zkouseni-kola,atg-aircraft-wheel-testing,2025,Video Production,Corporate video,4,ATG,Česká republika,"Těžký průmysl, NDT testování, Automatizace, Aerospace","Heavy Industry, NDT Testing, Automation, Aerospace"
https://youtu.be/5yVRSwnr8Hw,"ATG - Ultrasonic Testing for roller, tapered and cylindrical bearings",,"ATG - Ultrasonic Testing for roller, tapered and cylindrical bearings","Průmyslové video systému URM 360 V je o dokonalé souhře robotiky a automatizace. Snažil jsem se zachytit plynulost robotických ramen a čistotu procesu v imerzní nádrži tak, aby byla hned vidět spolehlivost celé techniky. Pro firmy v automotive a přesném strojírenství vytvářím dokumentaci, která srozumitelně komunikuje inovace a buduje důvěru u vašich B2B partnerů.",Capturing the URM 360 V system meant showcasing the perfect synergy between robotics and automation. I aimed to highlight the fluid motion of robotic arms and the clarity of the immersion tank process to demonstrate the reliability of the tech. I provide automotive and precision engineering firms with documentation that communicates innovation clearly.,atg-ultrazvukove-zkouseni-loziska,atg-ultrasonic-bearing-testing,2024,Video Production,Corporate video,5,ATG,Česká republika,"Automotive, Kontrola kvality, Strojírenství, B2B","Automotive, Quality Assurance, Manufacturing, B2B"
https://youtu.be/UGxNwoAytTA,ATG - Clever Ultrasonic testing for bearing rings (UZM 400),,ATG - Clever Ultrasonic testing for bearing rings (UZM 400),"U systému UZM 400 jsem chtěl zdůraznit rychlost a přesnost zajištění kvality. Pomocí detailního svícení a citlivých pohybů kamery vedu diváka celým automatizovaným procesem od vkládání až po vyhodnocení. Pomáhám technologickým výrobcům vysvětlit složité procesy jejich klientům skrze čistý a profesionální obraz, který v lidech zanechá dojem špičkové kvality.","Emphasizing speed and quality assurance was my main goal for the UZM 400 system. Through detailed lighting and sensitive camera movements, I guide the viewer through the entire automated process. I help tech manufacturers explain complex operations to their clients using clean, professional imagery.",atg-ultrazvukove-zkouseni-uzm-400,atg-ultrasonic-bearing-rings,2024,Video Production,Corporate video,3,ATG,Česká republika,"Přesné strojírenství, Inovace, Výroba, NDT","Precision Engineering, Innovation, Manufacturing, NDT"
https://youtu.be/X7zczJB_Dvc,ATG - Magnetic Particle Testing of big rotary parts (UNIMAG 2000 FLAT AC/HWDC),,ATG - Magnetic Particle Testing of big rotary parts,"UNIMAG 2000 je masivní stroj a mým cílem bylo v záběrech zachytit jeho skutečné měřítko i preciznost. Soustředil jsem se na interakci operátora se systémem, aby vyniklo snadné ovládání i při manipulaci s těžkými díly. Pro specialisty na NDT a těžký průmysl vytvářím vizuální marketing, který jasně dokazuje vaši kapacitu a bezpečnostní standardy v reálném provozu.","Capturing the true scale and precision of the massive UNIMAG 2000 was a rewarding challenge. I focused on the interaction between the operator and the system to highlight ease of use, even with heavy components. For NDT specialists, I create visual marketing that proves capacity and safety standards in real-world operations.",atg-magneticka-praskova-zkouseni-unimag,atg-magnetic-particle-testing,2021,Video Production,Corporate video,6,ATG,Česká republika,"Těžký průmysl, Ocelářství, Kontrola kvality, B2B","Heavy Industry, Steel Production, Quality Control, B2B"
https://youtu.be/qx0z0bUFlyY,Mariánská Rapsodie,ano,Mariánská Rapsodie - Baroque Pilgrimage Sites,"Práce na projektu o mariánských poutních místech Podkrušnohoří pro mě byla cesta do historie, která je v krajině vepsaná dodnes. S dronem i kamerou jsem se snažil zachytit ten kontrast mezi barokní vznešeností bazilik v Oseku či Bohosudově a syrovou realitou okolní těžby. Jako kameraman jsem se zaměřil na detaily architektury od mistrů jako byl Broggio nebo Santini, aby divák pocítil tu duchovní sílu a klid, který tato místa nabízela poutníkům už před stovkami let. Pomáhám kulturním institucím a historickým spolkům vyprávět příběhy našich památek skrze záběry, které propojují minulost s dneškem a dávají zapomenutým místům nový, moderní rozměr.","Working on the Marian pilgrimage sites was a journey into history written across the landscape. Using both drones and cameras, I captured the contrast between Baroque grandeur and the raw reality of local mining. I help cultural institutions tell the stories of our heritage through footage that bridges the past with the present.",marianska-rapsodie-podkrusnohori,marian-rhapsody-heritage,2025,Drone Cinematography,Documentary,4,Altum Frames,Česká republika,"Dokument, Kulturní dědictví, Krajina, Historie","Documentary, Cultural Heritage, Landscape, History"
https://youtu.be/y0HRgxK9Ze4,Wie is de Mol!?,ano,Wie is de Mol? - Season 21,"Práce na celosvětově úspěšném formátu Wie is De Mol pro mě byla jednou z největších profesních výzev. Jako dronista jsem měl na starosti nejen samotné natáčení unikátních lokací, ale také kompletní legislativní přípravu a získání licencí pro létání na více než 90 místech po celé České republice. Celý projekt byl o to náročnější, že probíhal v přísných omezeních během pandemie covidu, což vyžadovalo maximální flexibilitu a precizní plánování. Mediálním produkcím pomáhám zvládnout i ty nejnáročnější výzvy – od kreativních záběrů z jeskyní a hradů až po kompletní administrativní zajištění letového provozu v jakékoli situaci","Handling the global hit format ""De Mol"" was one of my greatest professional milestones. As the lead drone pilot, I was responsible for unique location shots and managing complex licensing for over 90 sites across the Czech Republic. Operating under strict COVID restrictions required total flexibility. I help media productions master even the toughest challenges.",wie-is-de-mol-czech,wie-is-de-mol-english,2021,Drone Cinematography,TV Series,1,FLUXX FILMS,Česká republika,"TV produkce, Reality Show, Napětí, Zábava","TV Production, Reality Show, Mystery, Entertainment"
https://youtu.be/e7VT7GxDscQ,Gambrinus - Kopeme za fotbal feat. Yo Yo Band,,Gambrinus - We Kick for Football feat. Yo Yo Band,"S Gambrinusem to byla čistá energie léta, fotbalu a přátelství. Jako kameraman jsem se zaměřil na ty nejupřímnější momenty mezi fanoušky, které jsem propojil s dynamickými přelety dronu nad hřištěm Kopakabrána. Pomáhám gastro značkám spojit jejich produkty s autentickou lokální kulturou a sportem skrze vizuál, který lidi prostě baví a dodává značce moderní filmový nádech.","Filming for Gambrinus was all about the raw energy of summer, football, and friendship. I focused on capturing genuine moments among fans, paired with dynamic drone sweeps over the pitch. I help food and beverage brands link their products with authentic local culture through visuals that people truly enjoy.",gambrinus-kopakabrana-fotbal,gambrinus-kopakabrana-football,2022,Drone Cinematography,Commercial & Promo,7,FLUXX FILMS,Česká republika,"Sport, Komunita, Lifestyle, Gastro","Sport, Community, Lifestyle, Beverage"
https://youtu.be/dYu0VHHyZDg,Welcome to AAU!,,Welcome to AAU! - Anglo-American University,"Studentský život na Anglo-americké univerzitě jsem chtěl ukázat jako cestu plnou inspirace v srdci Prahy. Propojil jsem historickou vznešenost kampusu s moderním vzděláváním pomocí světlých záběrů z přednášek i dronových pohledů na architekturu. Vzdělávacím institucím pomáhám posílit jejich mezinárodní prestiž a přilákat nové studenty vizuálním marketingem, který dýchá energií a ambicemi.",Showcasing student life at Anglo-American University meant highlighting a path of inspiration in the heart of Prague. I blended the historic grandeur of the campus with modern education using bright lecture shots and aerial perspectives. I help educational institutions boost their prestige through marketing that breathes energy.,welcome-to-aau-prague,welcome-to-aau-prague,2025,Video Production,Commercial & Promo,27,FLUXX FILMS,Česká republika,"Vzdělávání, Univerzita, Studentský život, Architektura","Education, University, Campus Life, Architecture"
https://youtu.be/7AYj3YPILtM,Die Diplomatin 5 Tödliches Alibi,,Die Diplomatin 5 - Deadly Alibi,"Létat dronem nad 100 hlavami v inscenované přednáškové místnosti pro seriál „Die Diplomatin“ byla pořádná adrenalinová práce. Jako kameraman jsem dokumentoval zákulisí i samotnou akci pomocí dronu Inspire 2 a rychlých sledovacích záběrů. Filmovým štábům nabízím schopnost pracovat v profesionálním tempu a dodávat technicky špičkové záběry, které zachytí rozsah a dynamiku i těch nejnáročnějších scén.","Flying a drone over 100 people for ""Die Diplomatin"" was a high-adrenaline task. As a cinematographer, I documented the behind-the-scenes action using an Inspire 2 drone and fast tracking shots. I offer film crews the ability to work at a professional pace, delivering shots that capture the scale and dynamics of even the most demanding scenes.",die-diplomatin-krimireihe-praha,die-diplomatin-krimireihe-prague,2026,Drone Cinematography,TV Series,3,AYRA grip,Česká republika,"TV seriál, Akce, Ze zákulisí, Filmová produkce","TV Series, Action, Behind the Scenes, Film Production"
https://youtu.be/AThFMwOg53s,Diese Ochsenknechts Staffel 2,,Diese Ochsenknechts - Season 2 Trailer,"Jako člen produkčního týmu pro prestižní platformu Sky Original jsem se podílel na natáčení traileru pro druhou řadu úspěšné reality show „Diese Ochsenknechts“. Tato video produkce pro Sky Österreich nahlíží do soukromí jedné z nejznámějších rodin a kombinuje emoce, dramatické životní zvraty i profesní úspěchy, jako je kariéra závodnice či nové modelingové projekty. Moje role v rámci této mezinárodní televizní produkce vyžadovala maximální profesionalitu a schopnost zachytit autentické momenty v prémiové vizuální kvalitě. Tento projekt podtrhuje moji zkušenost s prací na high-end formátech, kde je kladen důraz na dynamický střih, špičkovou kameru a vyprávění příběhu, který zaujme široké publikum napříč evropským trhem.","Working as part of the Sky Original team, I contributed to the trailer for ""Diese Ochsenknechts."" This production offers a private look into a famous family, blending emotion with professional milestones. The project highlights my experience with high-end formats where premium cinematography and engaging storytelling are paramount for a European audience.",diese-ochsenknechts-staffel-2,diese-ochsenknechts-season-2,2023,Drone Cinematography,TV Series,4,AYRA grip,Česká republika,"Reality Show, Celebrity, Zábava, TV produkce","Reality Show, Celebrity, Entertainment, TV Production"
